row_index,Run_ID,Group_VW,Speed_level,Weight_level,Pass_T
0,V1W1T2,V1W1,1,1,2
1,V1W1T3,V1W1,1,1,3
2,V1W1T4,V1W1,1,1,4
3,V1W1T5,V1W1,1,1,5
4,V1W1T6,V1W1,1,1,6
5,V1W2T1,V1W2,1,2,1
6,V1W2T2,V1W2,1,2,2
7,V1W2T3,V1W2,1,2,3
8,V1W2T4,V1W2,1,2,4
9,V1W2T5,V1W2,1,2,5
10,V1W2T6,V1W2,1,2,6
11,V1W3T1,V1W3,1,3,1
12,V1W3T2,V1W3,1,3,2
13,V1W3T3,V1W3,1,3,3
14,V1W3T4,V1W3,1,3,4
15,V1W3T5,V1W3,1,3,5
16,V1W3T6,V1W3,1,3,6
17,V2W1T1,V2W1,2,1,1
18,V2W1T2,V2W1,2,1,2
19,V2W1T3,V2W1,2,1,3
20,V2W1T4,V2W1,2,1,4
21,V2W1T5,V2W1,2,1,5
22,V2W1T6,V2W1,2,1,6
23,V2W2T1,V2W2,2,2,1
24,V2W2T2,V2W2,2,2,2
25,V2W2T3,V2W2,2,2,3
26,V2W2T4,V2W2,2,2,4
27,V2W2T5,V2W2,2,2,5
28,V2W2T6,V2W2,2,2,6
29,V2W3T1,V2W3,2,3,1
30,V2W3T3,V2W3,2,3,3
31,V2W3T4,V2W3,2,3,4
32,V2W3T5,V2W3,2,3,5
33,V2W3T6,V2W3,2,3,6
34,V3W1T1,V3W1,3,1,1
35,V3W1T2,V3W1,3,1,2
36,V3W1T3,V3W1,3,1,3
37,V3W1T4,V3W1,3,1,4
38,V3W1T5,V3W1,3,1,5
39,V3W1T6,V3W1,3,1,6
40,V3W2T2,V3W2,3,2,2
41,V3W2T3,V3W2,3,2,3
42,V3W2T4,V3W2,3,2,4
43,V3W2T5,V3W2,3,2,5
44,V3W2T6,V3W2,3,2,6
45,V3W3T1,V3W3,3,3,1
46,V3W3T2,V3W3,3,3,2
47,V3W3T3,V3W3,3,3,3
48,V3W3T4,V3W3,3,3,4
49,V3W3T5,V3W3,3,3,5
50,V3W3T6,V3W3,3,3,6
